"","Sale_Price","Gr_Liv_Area","Garage_Cars","Garage_Area","Total_Bsmt_SF","First_Flr_SF","Year_Built","Full_Bath","Year_Remod_Add","Mas_Vnr_Area","TotRms_AbvGrd"
"34",149900,1456,2,440,855,855,1975,2,1975,0,6
"35",120000,836,1,308,836,836,1975,1,1975,0,4
"36",146000,1456,2,440,855,855,1978,2,1978,0,7
"37",376162,2334,3,751,1590,1627,2009,2,2010,162,10
"38",306000,1704,3,772,1704,1704,2007,2,2008,200,7
"39",395192,1940,3,606,1930,1940,2009,2,2010,450,8
"40",290941,1544,3,868,1544,1544,2009,2,2010,256,7
"41",220000,1541,2,532,1541,1541,2005,2,2005,226,7
"42",275000,1698,3,730,1698,1698,2005,2,2005,615,7
"43",259000,1822,3,678,1822,1822,2005,2,2006,240,8
"44",214000,1535,2,532,1517,1535,2004,2,2004,168,7
"45",611657,2364,3,820,2330,2364,2009,2,2010,760,11
"46",224000,1358,2,484,1358,1358,2009,2,2010,128,6
"47",500000,2696,3,958,2846,2696,2003,2,2004,1095,10
"48",320000,2250,3,756,1671,1687,2002,2,2002,232,7
"49",319900,1752,2,576,1752,1752,2005,2,2005,412,6
"50",205000,1370,2,484,1370,1370,2006,2,2006,178,6
"51",175500,1626,2,474,764,764,2003,2,2003,106,6
"52",199500,1324,2,430,1324,1324,2005,2,2005,0,6
"53",160000,1145,2,437,1145,1145,2006,2,2006,14,6
"54",192000,1269,2,430,1256,1269,2004,2,2005,16,6
"55",184500,1374,2,400,384,744,2004,2,2004,0,7
"56",216500,1960,2,440,860,860,2002,2,2002,0,8
"57",185088,1733,2,433,847,847,2004,2,2004,0,7
"58",180000,1430,2,400,384,774,2000,2,2000,0,7
"59",222500,2035,2,434,884,884,2001,2,2001,180,8
"60",333168,2599,3,779,1393,1422,1999,2,1999,165,10
"61",355000,2475,3,962,1629,1645,1998,2,1998,114,7
"62",260400,1720,2,527,1720,1720,1996,2,1996,338,7
"63",325000,2622,2,712,1463,1500,1994,2,1995,362,9
"64",290000,2270,3,671,1152,1164,1999,2,2007,348,9
"65",221000,1839,2,486,1195,1195,1998,2,1998,30,7
"66",410000,3238,3,666,2033,2053,1995,2,1996,579,9
"67",221500,1595,3,880,1595,1595,2005,2,2006,226,6
"68",204500,1218,2,676,1218,1218,2009,2,2010,0,4
"69",215200,1547,2,614,756,764,2009,2,2009,0,7
"70",262500,1566,2,750,1566,1566,2008,2,2008,36,7
"71",254900,1947,2,678,991,991,2004,2,2005,0,8
"72",271500,1468,2,528,1468,1468,2005,2,2005,0,6
"73",233000,2084,2,618,956,956,2004,2,2004,0,8
"74",181000,1659,2,484,831,831,2004,2,2004,122,8
"75",205000,2110,2,463,948,1222,1994,2,2002,0,8
"76",143000,923,1,264,923,923,1980,2,1980,0,5
"77",189000,1845,2,462,1055,1055,1992,2,1992,0,8
"78",99500,918,1,264,918,918,1979,2,1979,0,5
"79",125000,752,1,264,744,752,1984,1,1984,0,4
"80",194500,1744,2,457,996,1014,1993,2,2003,0,7
"81",152000,1097,2,480,1040,1097,1984,2,1985,0,6
"82",171000,1564,2,476,650,888,1980,2,1981,130,7
"83",67500,1012,1,429,816,1012,1920,1,1950,0,5
"84",112000,1902,2,539,0,1318,1978,2,1978,0,8
"85",148000,1155,2,576,1109,1155,1961,1,1995,0,6
"86",138500,894,1,336,894,894,1965,1,2009,0,5
"87",122000,900,1,280,882,900,1967,1,1967,31,5
"88",133000,1040,1,308,1040,1040,1963,1,1963,0,5
"89",127000,1040,1,260,1040,1040,1962,1,2010,0,6
"90",169000,1494,2,461,1208,1494,1974,2,2002,250,7
"91",190000,1923,2,564,750,1061,1992,2,1992,0,8
"92",362500,2349,3,762,1231,1251,1993,2,1993,504,9
"93",285000,2225,3,713,1390,1402,1992,2,1993,180,7
"94",260000,1488,2,506,1488,1488,2004,2,2005,0,6
"95",190000,1680,2,588,840,840,2004,2,2004,0,3
"96",155000,1200,2,480,600,600,2004,2,2004,120,4
"97",151000,1200,2,480,600,600,2004,2,2005,0,4
"98",149500,1200,2,480,600,600,2004,2,2005,0,4
"99",152000,1236,2,480,600,600,2005,2,2005,216,4
"100",222000,1478,2,484,1470,1478,2009,2,2009,432,7
"101",177500,1573,2,440,756,769,2000,2,2000,216,5
"102",177000,1512,2,440,756,756,2000,2,2000,1159,5
"103",155000,1416,2,484,696,696,1999,2,1999,0,6
"104",147110,1080,2,496,530,530,2003,2,2003,0,4
"105",267916,1418,3,852,1642,1418,2010,1,2010,0,6
"106",254000,1848,2,592,975,975,2000,2,2000,0,7
"107",155000,788,2,484,728,788,1980,1,1980,0,3
"108",206000,1226,2,484,1226,1226,1978,1,1978,0,4
"109",130500,1479,2,475,725,725,1976,2,2005,289,6
"110",230000,1492,2,596,1492,1492,2002,2,2002,0,6
"111",218500,1829,2,535,1829,1829,1967,2,1967,120,8
"112",243500,2495,2,660,1280,1280,1993,2,1993,0,9
"113",205000,1610,2,480,1610,1610,1977,2,2001,28,6
"114",212500,1891,2,678,1224,1287,1978,3,1978,0,7
"115",196500,1714,2,496,980,980,1988,2,1988,42,7
"116",197500,1381,2,676,1161,1381,1972,1,2006,0,5
"117",171000,1645,2,441,715,930,1971,1,1971,0,7
"118",142250,1232,2,490,1232,1232,1966,1,1966,172,6
"119",143000,1328,2,528,1328,1328,1963,1,1963,451,6
"120",128950,1225,0,0,950,1225,1959,1,1959,0,6
"121",159000,1209,2,504,1209,1209,1966,1,1966,0,6
"122",178900,1510,2,517,1510,1510,1967,2,1967,268,6
"123",136300,1775,2,480,533,1131,1964,2,1964,0,8
"124",180500,1152,2,484,1152,1152,1964,1,1964,86,6
"125",137500,1054,2,480,936,1054,1963,1,1963,156,6
"126",84900,1728,0,0,1728,1728,1962,2,2001,144,10
"127",142125,1078,1,240,1078,1078,1950,1,1996,0,5
"128",197600,2461,2,400,1140,1929,1952,2,2002,265,7
"129",172500,1556,2,470,782,1019,1949,2,1950,340,6
"130",116500,858,0,0,858,858,1958,1,2008,0,4
"131",76500,1306,0,0,728,1306,1940,1,1966,0,6
"132",128000,1063,1,280,1056,1063,1954,1,1954,110,6
"133",153000,1520,1,364,1156,1520,1955,1,1972,164,7
"134",132000,1268,1,244,1268,1268,1954,1,1954,200,7
"135",178000,1128,1,315,1080,1128,1966,1,2008,216,5
"136",154300,2274,2,480,1105,1105,1960,2,1960,361,12
"137",180000,2207,2,576,1947,2207,1970,2,1989,287,7
"138",190000,1888,2,578,1517,1888,1966,2,2002,0,6
"139",135000,1604,2,576,1604,1604,1958,2,1958,0,8
"140",214000,1480,2,620,1480,1480,2003,2,2009,506,7
"141",136000,1143,1,308,1143,1143,1959,1,1959,150,6
"142",165500,1700,2,447,1398,1700,1959,1,1959,0,6
"143",145000,1314,1,294,1314,1314,1957,1,1957,0,5
"144",148000,1194,1,312,1194,1194,1959,1,1959,220,6
"145",142000,1188,2,531,1188,1188,1959,1,1959,180,6
"146",167500,1264,2,461,1268,1264,1960,1,1960,324,6
"147",108538,1206,1,312,1206,1206,1959,1,1959,91,6
"148",159500,1580,2,440,1244,1580,1959,1,1959,432,6
"149",108000,1337,1,263,832,832,1956,1,1956,0,5
"150",135000,1064,1,318,864,1064,1952,1,1952,0,4
"151",122500,972,1,305,972,972,1955,1,1955,0,5
"152",119000,988,1,264,988,988,1958,1,1958,0,5
"153",109000,1057,1,246,1057,1057,1953,1,2007,0,5
"154",105000,985,2,676,576,985,1920,1,1994,0,4
"155",107500,827,1,392,0,827,1955,1,2007,0,5
"156",144900,1086,2,490,1086,1086,1954,1,2003,104,6
"157",129000,936,1,308,936,936,1956,1,2000,0,4
"158",97500,1458,1,330,912,912,1948,1,1950,0,6
"159",144000,1056,2,576,1056,1056,1980,0,1980,0,4
"160",162000,1287,2,576,1063,1287,1959,1,2006,0,7
"161",242000,2978,2,564,710,1898,1967,2,2007,300,11
"162",132000,1224,1,280,816,816,1948,1,2004,0,5
"163",154000,1246,1,305,1246,1246,1959,1,1994,0,6
"164",166000,1385,2,720,910,910,1952,2,1952,0,6
"165",134800,900,2,576,900,900,1951,1,2000,0,5
"166",160000,1116,2,440,1116,1116,1962,1,1962,261,5
"167",148000,1175,2,484,1175,1175,1960,1,1960,0,6
"168",192000,1395,2,440,1395,1395,1963,1,1984,218,7
"169",155000,1839,2,442,756,1051,1966,1,1966,351,7
"170",80400,1844,1,240,709,1157,1900,1,1954,771,9
"171",96500,1140,0,0,576,792,1910,1,2004,0,7
"172",109500,936,0,0,936,936,1920,1,1950,0,5
"173",115000,1028,2,360,1008,1028,1927,1,1950,0,5
"174",143000,1347,2,551,1347,1347,1957,1,1957,0,6
"175",107400,1605,1,379,840,840,1915,2,1950,0,8
"176",80000,747,1,220,747,747,1945,1,1950,0,4
"177",119000,804,1,240,788,804,1940,1,1992,294,4
"178",130000,1316,2,484,926,926,1929,1,2001,0,6
"179",119000,1251,1,240,827,827,1938,1,2000,0,6
"180",129000,1633,1,240,1027,1027,1948,1,2009,0,7
"181",100000,1245,1,315,1008,1060,1920,1,1962,0,6
"182",12789,832,2,780,678,832,1923,1,1970,0,5
"183",105900,720,2,484,624,720,1928,1,2003,0,5
"184",150000,1566,1,288,930,930,1900,2,2003,0,7
"185",139000,1652,1,416,686,966,1915,2,1950,0,7
"186",240000,2268,2,624,346,1157,1890,3,2002,0,7
"187",76500,2256,0,0,840,1128,1910,2,1950,0,12
"188",149700,1236,2,923,912,1236,1957,1,1996,0,6
"189",125500,1363,2,528,622,741,1910,1,1950,0,6
"190",122500,2290,2,560,777,1246,1885,2,1950,0,11
"191",140750,1470,2,624,738,868,1922,1,1994,0,6
"192",128500,1612,1,363,988,1030,1950,1,1997,0,7
"193",209500,2068,1,315,1108,1160,1922,1,2005,0,8
"194",87000,765,1,200,765,765,1925,1,1950,0,4
"195",134000,1132,1,240,608,608,1939,1,1950,0,5
"196",128000,1196,2,576,572,848,1940,1,1950,0,6
"197",132000,1453,1,240,835,955,1942,1,1950,300,7
"198",139900,1416,1,312,780,780,1948,1,1950,0,6
"199",123900,1040,2,624,528,548,1936,1,1980,0,5
"200",138400,1536,2,480,928,928,1930,2,1950,0,7
"201",109500,1068,1,288,1124,1068,1923,1,1950,0,5
"202",140000,1710,2,480,576,902,1921,2,1950,0,9
"203",149500,1962,2,572,888,888,1915,1,1950,0,9
"204",159900,1560,0,0,780,780,1912,1,2009,0,7
"205",122000,1324,1,180,662,662,1920,1,1993,0,6
"206",110000,816,2,516,816,816,1963,1,1963,0,5
"207",55000,1092,0,0,0,372,1930,2,1950,0,7
"208",140000,1812,2,672,360,1032,1900,2,1996,0,8
"209",244400,2403,1,349,1032,1207,1940,2,1950,0,10
"210",173000,1675,1,365,1422,1675,1959,2,1959,90,8
"211",107500,1224,1,180,689,725,1917,1,1950,0,6
"212",100000,1392,0,0,1212,1212,1915,1,1950,0,6
"213",95000,919,1,231,600,600,1940,1,1950,0,5
"214",93369,1884,0,0,707,942,1907,1,1950,0,7
"215",114900,1680,2,450,856,936,1910,2,1950,0,7
"216",94000,1020,0,0,780,780,1875,1,1996,0,6
"217",136000,1832,0,0,1832,1832,1967,2,1967,72,8
"218",136500,1768,0,0,1768,1768,1968,2,1968,0,8
"219",131500,1039,2,504,1039,1039,1965,1,1965,0,6
"220",121500,1392,2,528,1392,1392,1957,1,1996,180,5
"221",125000,912,1,336,912,912,1967,1,1967,0,5
"222",154000,1060,1,270,1060,1060,1968,1,2001,0,6
"223",137900,892,1,416,864,892,1966,1,2008,47,5
"224",158000,1352,1,299,663,663,1969,1,1969,143,7
"225",137250,864,1,280,864,864,1968,1,1968,0,4
"226",160250,1373,2,591,1319,1373,1978,1,1978,0,5
"227",163000,1440,2,480,720,720,1968,1,1968,0,7
"228",158900,1386,2,440,672,672,1978,2,1978,328,6
"229",328000,2260,2,533,1306,1306,1996,2,1997,0,7
"230",270000,1483,2,690,1420,1483,1977,1,2001,0,4
"231",85000,756,2,440,660,756,1927,1,1950,0,4
"232",128000,1067,2,436,1067,1067,1950,2,1995,0,4
"233",260000,1524,2,586,1332,1332,1979,0,1979,0,4
"234",230000,1981,2,522,1117,1117,1978,2,1992,288,8
"235",124000,1610,1,480,972,1052,1938,2,1990,0,8
"236",83000,835,1,366,458,835,1920,1,1950,0,5
"237",144500,1074,1,467,663,1074,1950,1,1987,0,6
"238",129000,1144,1,596,1144,1144,1956,1,1956,0,6
"239",127000,1531,1,209,756,1169,1947,1,1979,0,8
"240",128000,1172,1,366,1172,1172,1954,1,1998,0,5
"241",186000,1212,2,460,1212,1212,2009,2,2009,0,6
"242",308030,1508,2,572,1508,1508,2009,1,2010,96,5
"243",114000,1298,2,504,1250,1298,1964,2,1964,0,5
"244",84900,930,1,308,0,930,1946,1,2006,0,6
"245",178000,1732,2,476,741,977,1985,2,1985,336,7
"246",270000,1433,2,528,1433,1433,1987,1,1987,177,4
"247",218000,1802,4,1017,946,964,1993,2,1993,85,8
"248",236000,1949,2,574,1050,1062,1993,2,1994,246,8
"249",147000,996,2,564,936,996,1992,1,1992,0,5
"250",245350,1694,3,776,1694,1694,2008,2,2008,72,7
"251",206000,1208,2,632,1187,1208,2006,2,2006,24,6
"252",198900,1226,3,740,1226,1226,2009,2,2009,0,6
"253",187000,1222,2,615,1222,1222,2010,2,2010,80,6
"254",320000,3222,3,594,1673,1699,1990,3,1990,0,11
"255",138500,1445,2,484,676,831,1900,2,1993,0,6
"256",155000,1052,2,440,1010,1052,1971,1,1971,80,6
"257",159000,965,2,580,870,965,1996,1,1996,0,4
"258",191000,1692,2,513,878,892,1997,2,1998,0,8
"259",200500,1682,2,523,804,804,1998,2,1998,116,7
"260",150000,1026,1,308,1026,1026,1977,1,2004,0,5
"261",161750,1392,1,299,689,689,1977,1,1977,153,6
"262",128200,894,1,308,894,894,1976,1,1976,0,5
"263",127000,876,2,484,876,876,1972,1,1972,0,5
"264",318000,1978,3,850,1978,1978,2003,2,2003,320,8
"265",272000,1601,2,670,1581,1601,2001,2,2002,479,6
"266",237000,1829,2,613,941,941,2003,2,2003,223,7
"267",240000,2098,2,621,1040,1044,1997,2,1997,0,9
"268",224900,1661,2,598,1649,1661,1998,2,1998,442,6
"269",143750,848,2,420,848,848,2003,1,2003,170,4
"270",143000,848,2,420,848,848,2004,1,2004,169,3
"271",232000,1668,2,502,1657,1668,2003,2,2003,171,8
"272",213000,1484,2,606,1473,1484,2004,2,2005,109,7
"273",185500,1414,2,494,1414,1414,2004,2,2004,98,6
"274",84900,640,1,240,0,640,1945,1,2007,0,5
"275",155891,992,1,319,381,992,1954,1,1954,0,6
"276",100000,1664,0,0,0,1664,1965,2,1965,0,8
"277",144000,1196,1,336,1196,1196,1968,1,1968,0,6
"278",64000,1120,2,480,744,792,1948,1,1950,0,5
"279",125200,1096,1,352,1008,1096,1975,1,1975,0,5
"280",107000,1117,2,672,1029,1117,1976,1,1976,0,6
"281",90000,960,0,0,960,960,1958,1,1958,0,5
"282",140000,1121,2,440,1121,1121,2003,2,2004,0,5
"283",113000,1487,1,220,735,798,1945,1,1950,0,7
"284",80000,924,1,280,672,672,1941,1,1950,0,5
"285",144500,1526,1,364,1216,1526,1957,1,2002,145,7
"286",104000,1296,1,260,1107,1296,1924,2,1999,203,5
"287",128000,1647,1,216,806,841,1915,1,1950,0,6
"288",58500,864,1,200,864,864,1914,1,1950,0,5
"289",127000,1691,1,308,1026,1026,1924,2,1950,0,6
"290",126000,856,2,399,856,856,1939,1,1950,0,4
"291",160000,2650,0,0,0,862,1967,3,1967,0,10
"292",100000,1666,0,0,894,894,1931,1,1950,0,7
"293",169000,2447,1,336,804,1699,1919,2,1990,0,10
"294",257500,2133,1,312,1528,1225,1941,1,1985,371,8
"295",215000,2177,2,484,1032,1102,1950,2,1991,430,11
"296",266500,2340,1,252,1152,1188,1941,2,2006,0,9
"297",335000,1902,2,567,1902,1902,1959,2,2002,0,7
"298",203135,1652,2,473,423,896,1994,2,2007,44,6
"299",185000,1034,2,598,982,1034,1989,1,1989,0,4
"300",162500,1191,2,531,1191,1191,1989,2,1989,0,5
"301",289000,1801,2,484,1501,1801,1959,2,1997,0,6
"302",125500,1154,1,240,796,796,1922,1,2007,0,7
"303",82000,540,1,200,480,540,1941,1,1950,0,4
"304",110000,1107,1,625,629,727,1921,1,1975,0,5
"305",68400,1128,2,528,698,698,1920,1,1950,0,6
"306",102776,1178,1,384,859,859,1900,1,1950,0,7
"307",55993,1044,2,504,540,1044,1952,1,1952,0,4
"308",50138,952,1,330,756,952,1896,1,1950,0,5
"309",246000,1646,2,525,1594,1646,2004,2,2005,186,5
"310",254900,1916,3,741,1049,1036,1998,2,1999,0,8
"311",190000,1285,2,473,1243,1285,1977,2,1977,0,6
"312",201000,1560,2,573,1560,1560,2003,2,2003,0,7
"313",169900,1034,3,888,1012,1034,1976,1,1976,335,6
"314",170000,2048,2,776,1958,2048,1976,3,1976,0,9
"315",160000,1687,2,572,747,1687,1948,1,1950,0,7
"316",220000,1346,3,660,1336,1346,2008,2,2008,60,6
"317",179781,1214,2,520,1214,1214,2009,2,2010,0,6
"318",174000,1444,2,400,384,744,2006,2,2007,0,7
"319",269500,1968,3,680,774,774,2009,2,2010,84,8
"320",214900,1894,2,510,817,824,2002,2,2003,44,8
"321",202900,1908,2,431,967,993,2002,2,2002,0,9
"322",378500,2018,3,746,2002,2018,2008,2,2009,0,10
"323",169000,1264,2,528,1068,1264,1965,1,1977,0,7
"324",173500,1430,2,624,1430,1430,2004,2,2005,0,7
"325",139000,1824,0,0,912,912,1971,2,1971,0,8
"326",166500,1344,2,686,1344,1344,1999,2,1999,0,7
"327",83500,1092,1,286,546,546,1973,1,1973,0,6
"328",119500,945,1,253,945,945,1973,1,1973,0,5
"329",85000,1112,1,336,536,536,1976,1,1976,0,4
"330",76000,1092,0,0,546,546,1970,1,1970,0,5
"331",75500,630,0,0,630,630,1972,1,1972,0,3
"332",88250,1092,0,0,546,546,1970,1,1970,0,5
"333",85500,1092,1,286,546,546,1972,1,1972,0,5
"334",130000,874,1,352,864,874,1971,1,2004,0,5
"335",157900,1188,1,312,1188,1188,1962,1,1962,189,6
"336",149900,833,2,495,833,833,1984,1,1984,0,5
"337",159000,2432,2,616,1216,1216,1985,4,1986,0,10
"338",136000,1274,2,576,624,624,1991,1,1991,0,6
"339",161000,1479,1,275,864,864,1969,2,1969,0,8
"340",285000,1803,2,482,1679,1803,1994,2,1995,0,6
"341",231000,1797,2,616,1152,1152,1993,2,1994,0,7
"342",124500,882,1,502,882,882,1956,1,1956,0,5
"343",157000,1434,2,528,1434,1434,1974,2,1974,440,7
"344",345000,2704,2,538,1952,2000,1972,2,1995,0,9
"345",189500,1608,2,470,945,945,1997,2,1997,0,7
"346",270000,2283,3,632,1008,1008,2003,2,2003,188,9
"347",189000,1628,2,390,384,958,1996,2,1997,32,7
"348",377500,1746,3,758,1746,1746,2006,2,2007,160,7
"349",168500,1474,2,400,384,804,1995,2,1996,22,7
"350",375000,2522,2,564,2208,2522,2004,2,2005,0,8
"351",278000,1659,2,499,1501,1659,2000,2,2000,0,5
"352",240000,1478,2,495,1418,1478,1998,2,1998,0,5
"353",239500,1734,2,528,1587,1734,1995,2,1996,0,6
"354",177500,1382,2,396,384,751,1998,2,1998,0,7
"355",185000,1718,2,427,832,885,1998,2,1998,40,7
"356",191000,1636,2,440,952,952,1998,2,1999,0,7
"357",178000,1571,2,380,799,799,1993,2,1994,0,7
"358",185000,1470,2,420,680,680,1993,2,1993,68,6
"359",181316,1516,2,409,707,707,1994,2,1995,0,7
"360",166000,1190,2,430,1181,1190,1993,2,1993,45,6
"361",178000,1593,2,389,808,808,1992,2,1993,0,7
"362",174000,1481,2,343,702,702,1994,2,1995,0,6
"363",173000,1167,2,400,1158,1167,1992,2,1992,106,6
"364",225000,1983,2,490,978,1005,1999,2,1999,344,9
"365",180500,1442,2,500,1424,1442,1990,2,1990,0,5
"366",187500,1360,2,565,1220,1360,1984,1,1984,0,4
"367",501837,2234,3,1166,2216,2234,2008,2,2009,748,9
"368",372500,2046,3,834,2046,2046,2008,2,2008,464,7
"369",260000,1530,2,430,1530,1530,2005,2,2005,16,7
"370",185000,1934,2,567,1122,946,1977,2,1977,157,6
"371",260000,2353,2,484,845,1153,1980,2,1980,278,10
"372",181000,1586,2,435,1362,1586,1979,2,1998,0,7
"373",82500,1411,2,544,1386,1411,1977,2,1977,209,6
"374",215000,1602,2,529,1602,1602,1977,2,2000,126,8
"375",154000,2050,2,529,832,1154,1978,2,1978,256,8
"376",200000,1671,2,484,1427,1671,1978,2,1986,101,7
"377",249000,2673,2,441,1043,1539,1980,2,1991,229,9
"378",187500,1472,2,588,1372,1472,1980,2,1980,225,6
"379",184000,1707,2,479,1140,1707,1978,2,1998,144,7
"380",278000,2524,2,542,2524,2524,1981,2,1981,0,9
"381",157000,1601,2,478,1271,1601,1978,2,1978,206,7
"382",152000,1370,2,479,1090,1370,1976,2,1976,189,6
"383",197500,1868,2,484,780,1088,1976,2,1976,44,9
"384",240900,1884,2,581,926,1016,2003,2,2003,0,7
"385",263435,1935,2,552,832,832,2009,2,2009,110,8
"386",220000,1874,2,588,1058,1058,2000,2,2001,0,7
"387",235000,1811,2,565,972,972,2002,2,2002,0,7
"388",213000,1621,2,478,1621,1621,1975,2,1975,161,7
"389",167900,1116,2,528,1116,1116,1974,2,1974,196,6
"390",158000,1193,2,506,1176,1193,1975,2,1975,0,5
"391",165000,1350,2,478,1064,1350,1974,2,1974,174,7
"392",158000,2119,2,583,689,1378,1972,2,1972,333,7
"393",136000,1792,0,0,896,896,1974,2,1974,0,8
"394",148500,1002,2,902,1002,1002,1970,1,1970,76,5
"395",156000,1026,2,440,1026,1026,1969,1,2005,0,5
"396",128000,1180,2,477,1180,1180,1970,1,1970,0,6
"397",143000,1050,1,336,1043,1050,1971,1,1971,178,6
"398",76500,864,2,576,864,864,1970,1,1970,0,5
"399",120500,864,2,660,864,864,1970,1,1970,0,5
"400",124500,864,2,463,864,864,1970,1,1970,0,5
"401",97000,864,2,576,864,864,1971,1,1971,0,4
"402",130000,864,2,576,864,864,1971,1,2006,0,5
"403",111000,987,1,264,483,483,1973,1,1973,504,5
"404",125000,1365,2,440,765,765,1970,1,1970,312,7
"405",112000,1302,1,280,630,630,1971,2,1971,142,6
"406",97000,987,1,288,483,483,1972,1,1972,425,5
"407",118000,987,1,264,483,483,1972,1,2007,510,5
"408",119500,1302,1,264,630,630,1972,2,1972,268,6
"409",143750,958,2,440,958,958,1976,2,1976,0,5
"410",146000,1548,2,440,804,804,1976,2,1976,0,7
"411",148500,1456,2,440,855,855,1976,2,1976,0,7
"412",123000,1055,2,440,1057,1055,1975,2,1975,0,4
"413",147000,1322,2,440,855,855,1974,2,1974,0,6
"414",137900,1456,2,440,855,855,1977,2,1977,0,6
"415",147000,1548,2,440,804,804,1978,2,1978,0,7
"416",148500,1441,2,440,855,855,1978,2,1978,0,7
"417",138000,1456,2,440,855,855,1978,2,1978,0,6
"418",128500,836,1,345,836,836,1976,1,1976,0,5
"419",100000,892,1,288,892,892,1967,1,1967,60,5
"420",148800,1120,2,656,864,1120,1966,1,2004,165,5
"421",337500,1718,3,786,1700,1718,2006,2,2007,230,7
"422",462000,2772,3,754,1776,1794,2007,3,2007,726,10
"423",485000,3140,3,820,1926,1966,2008,3,2009,860,11
"424",555000,2402,3,672,3094,2402,2008,2,2008,200,10
"425",325000,1652,2,840,1652,1652,2006,2,2007,300,6
"426",256300,1600,3,890,1566,1600,2007,2,2007,640,7
"427",253293,2042,3,1390,2042,2042,2008,2,2009,306,8
"428",398800,2690,3,864,1365,1365,2009,2,2009,0,8
"429",335000,2184,3,836,1104,1130,2008,2,2008,154,10
"430",404000,2020,3,896,2020,2020,2008,2,2008,450,7
"431",402861,2020,3,900,2006,2020,2009,2,2009,305,9
"432",451950,2296,3,842,1722,1728,2008,2,2008,420,10
"433",610000,2674,3,762,2630,2674,2007,2,2007,472,8
"434",582933,2822,3,1020,1734,1734,2008,3,2009,424,12
"435",360000,1736,3,834,1736,1736,2008,2,2008,302,7
"436",296000,1782,3,932,1782,1782,2004,2,2005,238,7
"437",409900,2520,3,640,1508,1508,2007,2,2007,20,10
"438",255500,1717,3,908,1709,1717,2006,2,2006,250,7
"439",335000,1743,3,927,1739,1743,2008,2,2008,284,8
"440",274900,1713,3,856,1713,1713,2004,2,2005,262,7
"441",300000,1531,3,700,1504,1531,2006,2,2006,122,6
"442",324000,1808,3,850,1774,1808,2008,2,2008,285,7
"443",350000,2224,3,738,1462,1462,2004,2,2005,216,10
"444",280000,1836,3,862,1836,1836,2004,2,2005,42,7
"445",284000,1629,3,880,3206,1629,2003,2,2004,296,7
"446",269500,1760,2,583,1760,1760,2003,2,2004,418,8
"447",233170,1502,2,644,1502,1502,2009,2,2009,268,7
"448",386250,2392,3,968,2392,2392,2003,2,2003,922,8
"449",445000,2452,3,886,2452,2452,2003,2,2003,724,10
"450",290000,2400,3,730,1082,1105,2003,3,2004,186,10
"451",255900,1606,3,871,1598,1606,2006,2,2006,383,6
"452",213000,1358,2,484,1358,1358,2005,2,2005,240,6
"453",196000,1306,2,624,1306,1306,2005,2,2005,135,5
"454",184500,1306,2,624,1306,1306,2005,2,2005,135,5
"455",212500,1358,2,484,1350,1358,2007,2,2008,176,6
"456",230000,1314,2,626,1314,1314,2007,2,2008,166,6
"457",552000,2492,3,949,2492,2492,2004,2,2005,730,8
"458",382500,2200,3,685,2200,2200,2003,2,2004,470,8
"459",320000,1884,2,649,1884,1884,2008,2,2009,308,6
